taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-11,15,31,0.8709677419354839,3.2600000000000002,2.7,0.9230769230769231,3.1317948717948716
green,2024-01-11,16,39,0.9230769230769231,3.1317948717948716,3.08,0.926829268292683,3.715365853658537
green,2024-01-11,17,41,0.926829268292683,3.715365853658537,3.36,0.9230769230769231,3.93
green,2024-01-11,18,39,0.9230769230769231,3.93,3.68,0.875,2.8221875
green,2024-01-11,19,32,0.875,2.8221875,2.45,0.9666666666666667,3.006333333333333
green,2024-01-11,20,30,0.9666666666666667,3.006333333333333,2.915,0.9,2.7969999999999997
green,2024-01-11,21,10,0.9,2.7969999999999997,2.88,0.9047619047619048,2.782380952380952
green,2024-01-11,22,21,0.9047619047619048,2.782380952380952,2.0,1.0,3.189
green,2024-01-12,0,6,0.6666666666666666,2.606666666666667,3.1950000000000003,0.6666666666666666,1.82
green,2024-01-12,1,3,0.6666666666666666,1.82,1.0,0.5,5.025
green,2024-01-12,5,3,1.0,4.033333333333333,4.0,1.0,3.5566666666666666
green,2024-01-12,6,6,1.0,3.5566666666666666,3.7,0.95,3.1385
green,2024-01-12,7,20,0.95,3.1385,2.16,1.0,4.223571428571429
green,2024-01-12,8,28,1.0,4.223571428571429,3.875,0.7333333333333333,1.9400000000000002
green,2024-01-12,9,15,0.7333333333333333,1.9400000000000002,1.75,0.85,3.471
green,2024-01-12,10,20,0.85,3.471,3.55,0.8,3.3844
green,2024-01-12,11,25,0.8,3.3844,2.96,1.0,3.9669230769230768
green,2024-01-12,12,13,1.0,3.9669230769230768,4.11,0.8571428571428571,3.6885714285714286
green,2024-01-12,13,14,0.8571428571428571,3.6885714285714286,3.525,1.0,4.628888888888889
green,2024-01-12,14,18,1.0,4.628888888888889,3.79,0.90625,3.05125
green,2024-01-12,15,32,0.90625,3.05125,3.135,1.0,5.016060606060606
green,2024-01-12,16,33,1.0,5.016060606060606,3.78,0.9459459459459459,3.3351351351351353
green,2024-01-12,17,37,0.9459459459459459,3.3351351351351353,2.98,0.9117647058823529,3.125294117647059
green,2024-01-12,18,34,0.9117647058823529,3.125294117647059,3.0,1.0,3.683529411764706
green,2024-01-12,19,34,1.0,3.683529411764706,3.48,0.8846153846153846,2.876923076923077
green,2024-01-12,20,26,0.8846153846153846,2.876923076923077,2.245,0.9090909090909091,2.9400000000000004
green,2024-01-12,21,11,0.9090909090909091,2.9400000000000004,2.36,0.9230769230769231,3.0523076923076924
green,2024-01-12,22,13,0.9230769230769231,3.0523076923076924,2.22,0.8666666666666667,2.392
green,2024-01-13,0,10,0.9,3.138,3.17,1.0,3.7816666666666667
green,2024-01-13,1,6,1.0,3.7816666666666667,2.6100000000000003,1.0,6.764
green,2024-01-13,2,5,1.0,6.764,2.36,0.6666666666666666,8.133333333333333
green,2024-01-13,3,3,0.6666666666666666,8.133333333333333,10.2,1.0,5.0
green,2024-01-13,7,5,1.0,2.306,2.0,1.0,5.017
green,2024-01-13,8,10,1.0,5.017,4.890000000000001,0.8571428571428571,2.704285714285714
green,2024-01-13,9,14,0.8571428571428571,2.704285714285714,2.55,0.9444444444444444,2.8111111111111113
green,2024-01-13,10,18,0.9444444444444444,2.8111111111111113,3.0,0.875,3.6568750000000003
green,2024-01-13,11,16,0.875,3.6568750000000003,3.4299999999999997,0.9047619047619048,2.208095238095238
green,2024-01-13,12,21,0.9047619047619048,2.208095238095238,2.0,0.8947368421052632,3.1042105263157893
green,2024-01-13,13,19,0.8947368421052632,3.1042105263157893,2.8,0.8571428571428571,3.7485714285714287
green,2024-01-13,14,21,0.8571428571428571,3.7485714285714287,2.72,0.9615384615384616,4.019230769230769
green,2024-01-13,15,26,0.9615384615384616,4.019230769230769,3.3499999999999996,0.8571428571428571,2.7364285714285717
green,2024-01-13,16,28,0.8571428571428571,2.7364285714285717,2.3,0.9354838709677419,3.168064516129032
green,2024-01-13,17,31,0.9354838709677419,3.168064516129032,2.86,0.8571428571428571,3.035476190476191
green,2024-01-13,18,42,0.8571428571428571,3.035476190476191,2.645,0.967741935483871,3.1070967741935487
green,2024-01-13,19,31,0.967741935483871,3.1070967741935487,2.44,0.8235294117647058,3.1241176470588234
green,2024-01-13,20,17,0.8235294117647058,3.1241176470588234,3.0,0.8125,2.570625
green,2024-01-13,21,16,0.8125,2.570625,2.495,1.0,3.95
green,2024-01-13,22,13,1.0,3.95,3.54,0.8571428571428571,1.9628571428571429
green,2024-01-14,0,10,1.0,4.784000000000001,4.035,1.0,3.08
green,2024-01-14,1,6,1.0,3.08,2.725,1.0,4.824
green,2024-01-14,2,5,1.0,4.824,6.1,0.7142857142857143,4.007142857142857
green,2024-01-14,3,7,0.7142857142857143,4.007142857142857,4.35,1.0,1.0
green,2024-01-14,4,2,1.0,1.0,1.0,1.0,1.0
green,2024-01-14,5,1,1.0,1.0,1.0,1.0,2.58
green,2024-01-14,6,2,1.0,2.58,2.58,0.6666666666666666,2.1666666666666665
green,2024-01-14,7,3,0.6666666666666666,2.1666666666666665,1.0,1.0,3.4316666666666666
green,2024-01-14,8,6,1.0,3.4316666666666666,2.525,0.7142857142857143,1.8314285714285714
green,2024-01-14,9,7,0.7142857142857143,1.8314285714285714,1.0,0.7857142857142857,3.060714285714286
green,2024-01-14,10,14,0.7857142857142857,3.060714285714286,2.95,0.9411764705882353,3.044705882352941
green,2024-01-14,11,17,0.9411764705882353,3.044705882352941,2.85,0.9411764705882353,2.9
green,2024-01-14,12,17,0.9411764705882353,2.9,2.58,0.9444444444444444,3.8705555555555557
green,2024-01-14,13,18,0.9444444444444444,3.8705555555555557,3.415,0.9230769230769231,2.968461538461539
green,2024-01-14,14,26,0.9230769230769231,2.968461538461539,2.995,0.9565217391304348,3.1395652173913042
green,2024-01-14,15,23,0.9565217391304348,3.1395652173913042,3.22,0.8571428571428571,2.988095238095238
green,2024-01-14,16,21,0.8571428571428571,2.988095238095238,2.9,1.0,3.437857142857143
green,2024-01-14,17,14,1.0,3.437857142857143,3.545,1.0,3.715625
green,2024-01-14,18,16,1.0,3.715625,2.975,0.8888888888888888,4.145185185185185
green,2024-01-14,19,27,0.8888888888888888,4.145185185185185,2.86,0.9333333333333333,4.398666666666667
green,2024-01-14,20,15,0.9333333333333333,4.398666666666667,3.34,1.0,4.431764705882353
green,2024-01-14,21,17,1.0,4.431764705882353,4.18,1.0,4.008
green,2024-01-14,22,10,1.0,4.008,4.38,1.0,2.935
